Date,Color,Breed,Sex,State,Name,DateCreated
1999-01-29,Brown,Chocolate Lab,F,Lost,Mocha,2005-06-21
1999-01-29,Amber,Lab X Chow,M,Lost,Tyrre,2005-06-21
1999-02-02,Black & Grey,Long Fluffy Fur,M,Found,No Name,2005-06-21
1999-02-02,Pale Blonde,Lab X,M/N,Matched,No Name,2005-06-21
1999-02-02,Tan & White,Staffordshire Terrier,F/S,Lost,Roxy,2005-06-21
1999-02-02,Black & Brown,Yorkshire Terrier,M,Matched,No Name,2005-06-21
1999-02-02,Brown & White,Springer Spaniel,F/S,Matched,Nica,2005-06-21
1999-02-02,Black & Tan,Chow X Husky,M,Lost,Dog,2005-06-21
1999-02-03,Black & Silver & Brown,Silky Terrier,F/S,Matched,No Name,2005-06-21
1999-02-03,Red & Silver,Yorkshire Terrier,M,Matched,Bobby,2005-06-21
1999-02-04,Brown & White,Husky X,F/S,Lost,Bandit,2005-06-21
1999-02-04,Brown & Black & White,Basset Hound,M/N,Lost,Bruno,2005-06-21
1999-02-04,Brown,Lab X Viszla,F/S,Lost,Angel,2005-06-21
1999-02-04,Brown & White,Gsh Pointer,M,Lost,Fueller,2005-06-21
1999-02-05,Black & Tan,Shep X Collie,F/S,Found,No Name,2005-06-21
1999-02-04,Beige,Terr X,M/N,Lost,Benji,2005-06-21
1999-02-05,Brown & White,Jack Russell,F/S,Lost,Tobie,2005-06-21
1999-02-05,Black & White,Shih Tsu,F,Found,No Name,2005-06-21
1999-02-05,Black & Brown,Coll X Shep X Elk,M/N,Lost,Bear,2005-06-21
1999-02-04,Black & White,Shih Tzu,F/S,Matched,Sweetie,2005-06-21
1999-02-06,Grey & White,Husky,M,Lost,Teak,2005-06-21
1999-02-06,Black,Lab,M,Matched,Benson,2005-06-21
1999-02-07,Black & Tan,Rottweiler,F/S,Lost,Chubbs,2005-06-21
1999-02-07,Black & White,Lab X,F/S,Lost,Spanky,2005-06-21
1999-02-08,Brown & Tan,Greyhound,F/S,Found,John,2005-06-21
1999-02-08,Brown & White,Gsh Pointer,M,Lost,Czar,2005-06-21
1999-02-08,Black & Tan,Shep X,M,Lost,Banjo,2005-06-21
1999-02-08,Grey,Poodle,M/N,Lost,Karam,2005-06-21
1999-02-08,Black & Tan,Rottweiller Puppy,M,Lost,No Name,2005-06-21
1999-02-09,Black & Tan & White,Shepherd X,F/S,Lost,Shamba,2005-06-21
1999-02-09,Black & Tan,Shepherd X,M,Found,No Name,2005-06-21
1999-02-09,Black & Tan,Shep. /aaprox. 6 Months Old,M,Found,No Name,2005-06-21
1999-02-09,Blonde,Cocker Spaniel,M/N,Lost,Gus,2005-06-21
1999-02-09,Black & Tan,Shep X,F/S,Lost,Timone,2005-06-21
1999-02-10,Grey & White,Tabby Cat,M/N,Found,No Name,2005-06-21
1999-02-10,Blonde & White,Staffforshire Terrier,M,Lost,Taz,2005-06-21
